date,time,home_team,away_team,league,tv_channel,over_1_5,under_1_5,over_2_5,under_2_5,over_3_5,under_3_5
2025-11-23,18:30,Getafe,Atletico Madrid,Spania - Primera Division,,1.48,2.55,2.5,1.5,4.8,1.16
2025-11-23,21:00,Elche,Real Madrid,Spania - Primera Division,,1.13,5.4,1.45,2.65,2.15,1.65
2025-11-24,21:00,Espanol,Sevilla,Spania - Primera Division,,1.32,3.2,1.97,1.77,3.45,1.28
2025-11-21,21:15,Unionistas de Salamanca CF,Real Madrid B,Spain Primera RFEF Group 1 - Spain,,1.45,2.35,,,,
2025-11-22,16:15,Merida AD,Real Aviles,Spain Primera RFEF Group 1 - Spain,,,,2.05,1.58,,
2025-11-22,16:15,Lugo,Pontevedra,Spain Primera RFEF Group 1 - Spain,,1.5,2.2,,,,
2025-11-22,18:30,Arenas Club de Getxo,Tenerife,Spain Primera RFEF Group 1 - Spain,,1.45,2.3,,,,
2025-11-22,18:30,CD Guadalajara,Athletic Bilbao B,Spain Primera RFEF Group 1 - Spain,,1.45,2.3,,,,
2025-11-22,18:30,Arenteiro,Ourense CF,Spain Primera RFEF Group 1 - Spain,,1.5,2.2,,,,
2025-11-23,12:00,Celta Vigo B,Ponferradina,Spain Primera RFEF Group 1 - Spain,,,,2.2,1.5,,
2025-11-23,16:00,Zamora CF,Talavera CF,Spain Primera RFEF Group 1 - Spain,,,,1.95,1.65,,
2025-11-23,16:00,Barakaldo CF,Racing Club Ferrol,Spain Primera RFEF Group 1 - Spain,,1.5,2.2,,,,
2025-11-23,18:30,Cacereno,Osasuna B,Spain Primera RFEF Group 1 - Spain,,1.48,2.25,,,,
2025-11-21,21:15,Unionistas de Salamanca CF,Real Madrid B,Spain Primera RFEF Group 1 - Spain,,1.45,2.35,,,,
2025-11-22,16:15,Merida AD,Real Aviles,Spain Primera RFEF Group 1 - Spain,,,,2.05,1.58,,
2025-11-22,16:15,Lugo,Pontevedra,Spain Primera RFEF Group 1 - Spain,,1.5,2.2,,,,
2025-11-22,18:30,Arenas Club de Getxo,Tenerife,Spain Primera RFEF Group 1 - Spain,,1.45,2.3,,,,
2025-11-22,18:30,CD Guadalajara,Athletic Bilbao B,Spain Primera RFEF Group 1 - Spain,,1.45,2.3,,,,
2025-11-22,18:30,Arenteiro,Ourense CF,Spain Primera RFEF Group 1 - Spain,,1.5,2.2,,,,
2025-11-23,12:00,Celta Vigo B,Ponferradina,Spain Primera RFEF Group 1 - Spain,,,,2.2,1.5,,
2025-11-23,16:00,Zamora CF,Talavera CF,Spain Primera RFEF Group 1 - Spain,,,,1.95,1.65,,
2025-11-23,16:00,Barakaldo CF,Racing Club Ferrol,Spain Primera RFEF Group 1 - Spain,,1.5,2.2,,,,
2025-11-23,18:30,Cacereno,Osasuna B,Spain Primera RFEF Group 1 - Spain,,1.48,2.25,,,,
2025-11-22,13:30,Burnley,Chelsea,England - Premier League,,1.22,4.1,1.67,2.1,2.75,1.42
2025-11-22,16:00,Wolves,Crystal Palace,England - Premier League,,1.33,3.15,2.0,1.75,3.55,1.27
2025-11-22,16:00,Fulham,Sunderland,England - Premier League,,1.38,2.9,2.15,1.65,3.95,1.22
2025-11-22,16:00,Brighton,Brentford,England - Premier League,,1.22,4.1,1.67,2.1,2.7,1.43
2025-11-22,16:00,Liverpool,Nott'm Forest,England - Premier League,,1.14,5.2,1.5,2.5,2.25,1.6
2025-11-22,16:00,Bournemouth,West Ham,England - Premier League,,1.23,3.9,1.75,2.0,2.85,1.4
2025-11-22,18:30,Newcastle,Man City,England - Premier League,,1.22,4.0,1.72,2.05,2.75,1.42
2025-11-23,15:00,Leeds,Aston Villa,England - Premier League,,1.37,2.95,2.1,1.67,3.9,1.23
2025-11-23,17:30,Arsenal,Tottenham,England - Premier League,,1.25,3.7,1.8,1.95,3.05,1.35
2025-11-24,21:00,Man United,Everton,England - Premier League,,1.23,3.9,1.72,2.05,2.8,1.4
2025-11-29,16:00,Sunderland,Bournemouth,England - Premier League,,,,,,,
2025-11-29,16:00,Man City,Leeds,England - Premier League,,,,,,,
2025-11-29,16:00,Brentford,Burnley,England - Premier League,,,,,,,
2025-11-29,18:30,Everton,Newcastle,England - Premier League,,,,,,,
